has_segment,imageID,is_perfect,class,time,in_active_task_x,in_active_task_y,in_active_task
1.0,INATRANDOM-1070520,0,lateral,9.343999999999824,-1.0,-1.0,-1.0
1.0,INATRANDOM-13751840,1,lateral,4.687417756999992,-1.0,-1.0,-1.0
1.0,INATRANDOM-13764408,0,lateral,4.5470000000000255,-1.0,-1.0,-1.0
1.0,INATRANDOM-14087380,1,lateral,2.245048429999997,-1.0,-1.0,-1.0
1.0,INATRANDOM-14730277,0,lateral,3.571805590999986,-1.0,-1.0,-1.0
1.0,INATRANDOM-15145235,0,lateral,3.25,-1.0,-1.0,-1.0
1.0,INATRANDOM-15250675,0,lateral,4.8120000000001255,-1.0,-1.0,-1.0
1.0,INATRANDOM-17127871,0,lateral,2.018232132999969,-1.0,-1.0,-1.0
1.0,INATRANDOM-28645879,0,lateral,2.4932384580000644,-1.0,-1.0,-1.0
1.0,INATRANDOM-28770069,0,lateral,4.312000000005355,-1.0,-1.0,-1.0
1.0,INATRANDOM-29210931,0,lateral,3.671999999991385,-1.0,-1.0,-1.0
1.0,INATRANDOM-29289549,0,lateral,5.9060000000172295,-1.0,-1.0,-1.0
1.0,INATRANDOM-29293484,0,lateral,2.969000000000051,-1.0,-1.0,-1.0
1.0,INATRANDOM-2998967,0,lateral,1.6369335829999727,-1.0,-1.0,-1.0
1.0,INATRANDOM-30083078,1,lateral,3.563000000000102,-1.0,-1.0,-1.0
1.0,INATRANDOM-32248244,0,lateral,2.75,-1.0,-1.0,-1.0
1.0,INATRANDOM-341800,1,lateral,3.327999999979511,-1.0,-1.0,-1.0
1.0,INATRANDOM-34491323,0,lateral,1.422152495999967,-1.0,-1.0,-1.0
1.0,INATRANDOM-3478284,0,lateral,12.422000000000024,-1.0,-1.0,-1.0
1.0,INATRANDOM-3537251,0,lateral,1.4342296849999912,-1.0,-1.0,-1.0
1.0,INATRANDOM-36081626,0,lateral,3.687000000005355,-1.0,-1.0,-1.0
1.0,INATRANDOM-4186710,0,lateral,3.858999999996741,-1.0,-1.0,-1.0
1.0,INATRANDOM-6738188,0,lateral,1.9059999999590216,-1.0,-1.0,-1.0
1.0,INATRANDOM-7198278,0,lateral,1.0754724749999696,-1.0,-1.0,-1.0
1.0,INATRANDOM-11805304,1,dorsal,11.469000000000053,-1.0,-1.0,-1.0
1.0,INATRANDOM-13876951,0,dorsal,4.875,-1.0,-1.0,-1.0
1.0,INATRANDOM-15138951,0,dorsal,3.53200000000652,-1.0,-1.0,-1.0
1.0,INATRANDOM-18953301,0,dorsal,5.500000000029104,-1.0,-1.0,-1.0
1.0,INATRANDOM-20192065,0,dorsal,3.562000000000125,-1.0,-1.0,-1.0
1.0,INATRANDOM-28518328,0,dorsal,3.1879999999998745,-1.0,-1.0,-1.0
1.0,INATRANDOM-29440930,0,dorsal,1.804240162000042,-1.0,-1.0,-1.0
1.0,INATRANDOM-3463672,0,dorsal,5.375,-1.0,-1.0,-1.0
1.0,INATRANDOM-35643126,0,dorsal,2.844000000000051,-1.0,-1.0,-1.0
1.0,INATRANDOM-35739986,0,dorsal,3.155999999999949,-1.0,-1.0,-1.0
1.0,INATRANDOM-42084680,0,dorsal,1.2179335209999635,-1.0,-1.0,-1.0
1.0,INATRANDOM-49121632,0,dorsal,5.566704234999975,-1.0,-1.0,-1.0
1.0,INATRANDOM-49421864,0,dorsal,2.155999999959022,-1.0,-1.0,-1.0
1.0,INATRANDOM-53126727,1,dorsal,10.514999999999873,-1.0,-1.0,-1.0
1.0,INATRANDOM-53552400,0,dorsal,3.2644299259999343,-1.0,-1.0,-1.0
1.0,INATRANDOM-5440722,0,dorsal,5.280999999999949,-1.0,-1.0,-1.0
1.0,INATRANDOM-5576669,0,dorsal,1.3611447120001685,-1.0,-1.0,-1.0
1.0,INATRANDOM-59636869,0,dorsal,24.108999999999924,-1.0,-1.0,-1.0
1.0,INATRANDOM-61515501,0,dorsal,2.8149291349998293,-1.0,-1.0,-1.0
1.0,INATRANDOM-64802707,0,dorsal,2.875,-1.0,-1.0,-1.0
1.0,INATRANDOM-6682596,0,dorsal,1.6876346650001324,-1.0,-1.0,-1.0
1.0,INATRANDOM-78624678,0,dorsal,1.1990340699999251,-1.0,-1.0,-1.0
1.0,INATRANDOM-78758800,0,dorsal,2.280999999959022,-1.0,-1.0,-1.0
1.0,INATRANDOM-83390864,0,dorsal,42.90599999999995,-1.0,-1.0,-1.0
1.0,INATRANDOM-86498620,0,dorsal,2.0389067170001454,-1.0,-1.0,-1.0
1.0,INATRANDOM-89408155,0,dorsal,1.187580705000073,-1.0,-1.0,-1.0
1.0,INATRANDOM-90707228,0,dorsal,1.219000000000051,-1.0,-1.0,-1.0
1.0,INATRANDOM-90837080,0,dorsal,4.186999999999898,-1.0,-1.0,-1.0
1.0,INATRANDOM-115820103,0,dorsal,1.327999999979511,-1.0,-1.0,-1.0
1.0,INATRANDOM-1738422,0,dorsal,5.235000000000582,-1.0,-1.0,-1.0
1.0,INATRANDOM-110322341,0,dorsal,3.809384465999983,-1.0,-1.0,-1.0
1.0,INATRANDOM-1637768,0,dorsal,6.375,-1.0,-1.0,-1.0
1.0,INATRANDOM-36094565,0,dorsal,1.5309999999590218,-1.0,-1.0,-1.0
1.0,INATRANDOM-98745130,0,dorsal,1.9542208440002469,-1.0,-1.0,-1.0
1.0,INATRANDOM-91344157,0,dorsal,1.672000000020489,-1.0,-1.0,-1.0
1.0,INATRANDOM-58800864,1,dorsal,3.688000000001921,-1.0,-1.0,-1.0
1.0,INATRANDOM-89428513,0,dorsal,1.5,-1.0,-1.0,-1.0
1.0,INATRANDOM-51324309,1,dorsal,1.7039999999997235,-1.0,-1.0,-1.0
1.0,INATRANDOM-25711605,0,dorsal,1.735000000000582,-1.0,-1.0,-1.0
1.0,INATRANDOM-50724075,1,dorsal,4.436999999999898,-1.0,-1.0,-1.0
1.0,INATRANDOM-28343884,0,dorsal,16.29699999978766,-1.0,-1.0,-1.0
1.0,INATRANDOM-77656050,0,dorsal,10.5,-1.0,-1.0,-1.0
1.0,INATRANDOM-49071644,0,dorsal,1.875,-1.0,-1.0,-1.0
1.0,INATRANDOM-3890044,1,dorsal,2.1719999997876585,-1.0,-1.0,-1.0
1.0,INATRANDOM-29427491,0,dorsal,2.984000000171364,-1.0,-1.0,-1.0
1.0,INATRANDOM-50518821,0,dorsal,2.2810000001918525,-1.0,-1.0,-1.0
1.0,INATRANDOM-26950274,1,dorsal,2.5,-1.0,-1.0,-1.0
1.0,INATRANDOM-92975696,0,dorsal,5.549873400000251,-1.0,-1.0,-1.0
1.0,INATRANDOM-60219007,0,dorsal,1.5929999999934807,-1.0,-1.0,-1.0
1.0,INATRANDOM-16062195,0,dorsal,23.811999999918044,-1.0,-1.0,-1.0
1.0,INATRANDOM-52407126,0,dorsal,7.593999999997322,-1.0,-1.0,-1.0
1.0,INATRANDOM-58733900,0,dorsal,1.4839999999385327,-1.0,-1.0,-1.0
1.0,INATRANDOM-9229367,1,dorsal,2.546000000089407,-1.0,-1.0,-1.0
1.0,INATRANDOM-30203058,0,dorsal,1.9840000000003783,-1.0,-1.0,-1.0
1.0,INATRANDOM-47580331,0,dorsal,1.953000000212341,-1.0,-1.0,-1.0
1.0,INATRANDOM-24064580,0,dorsal,2.890000000001237,-1.0,-1.0,-1.0
1.0,INATRANDOM-28438702,0,dorsal,1.7660000000614673,-1.0,-1.0,-1.0
1.0,INATRANDOM-81110675,0,dorsal,8.422000000020489,-1.0,-1.0,-1.0
1.0,INATRANDOM-55005326,0,dorsal,2.311999999998079,-1.0,-1.0,-1.0
1.0,INATRANDOM-35613709,0,dorsal,2.17200000000048,-1.0,-1.0,-1.0
1.0,INATRANDOM-60017244,0,dorsal,10.375,-1.0,-1.0,-1.0
1.0,INATRANDOM-29347271,0,dorsal,1.0245849209999278,-1.0,-1.0,-1.0
1.0,INATRANDOM-26806385,0,dorsal,1.4652120089999698,-1.0,-1.0,-1.0
1.0,INATRANDOM-110773615,0,dorsal,1.8755543519999949,-1.0,-1.0,-1.0
1.0,INATRANDOM-107132037,1,dorsal,3.754131799999982,-1.0,-1.0,-1.0
1.0,INATRANDOM-60963163,0,dorsal,1.5417282519999844,-1.0,-1.0,-1.0
1.0,INATRANDOM-28449390,0,dorsal,2.5930000000007567,-1.0,-1.0,-1.0
1.0,INATRANDOM-29412145,1,dorsal,5.063000000000102,-1.0,-1.0,-1.0
1.0,INATRANDOM-47829557,0,dorsal,2.077999999979511,-1.0,-1.0,-1.0
1.0,INATRANDOM-83866661,0,dorsal,2.2339999999967404,-1.0,-1.0,-1.0
1.0,INATRANDOM-85652245,0,dorsal,2.687000000005355,-1.0,-1.0,-1.0
1.0,INATRANDOM-53306524,1,dorsal,2.5629999998491257,-1.0,-1.0,-1.0
1.0,INATRANDOM-47193154,0,dorsal,1.4840000000003783,-1.0,-1.0,-1.0
1.0,INATRANDOM-76370697,0,dorsal,1.7339999999967404,-1.0,-1.0,-1.0
1.0,INATRANDOM-96697246,0,dorsal,5.51600000000326,-1.0,-1.0,-1.0
1.0,INATRANDOM-100108757,1,dorsal,21.015999999999963,-1.0,-1.0,-1.0
1.0,INATRANDOM-12798848,0,dorsal,1.7189999999998236,-1.0,-1.0,-1.0
1.0,INATRANDOM-13129278,1,dorsal,7.815568681999991,-1.0,-1.0,-1.0
1.0,INATRANDOM-13636475,0,dorsal,33.625,-1.0,-1.0,-1.0
1.0,INATRANDOM-14302496,0,dorsal,3.219000000000051,-1.0,-1.0,-1.0
1.0,INATRANDOM-17980612,0,dorsal,1.8279999999999743,-1.0,-1.0,-1.0
1.0,INATRANDOM-20515232,1,dorsal,12.969000000011874,-1.0,-1.0,-1.0
1.0,INATRANDOM-22209649,0,dorsal,6.030999999988126,-1.0,-1.0,-1.0
1.0,INATRANDOM-22582258,0,dorsal,1.5470000000000257,-1.0,-1.0,-1.0
1.0,INATRANDOM-23059419,0,dorsal,3.655999999999949,-1.0,-1.0,-1.0
1.0,INATRANDOM-27144136,0,dorsal,4.097481614000003,-1.0,-1.0,-1.0
1.0,INATRANDOM-2778053,0,dorsal,2.672000000000025,-1.0,-1.0,-1.0
1.0,INATRANDOM-27889532,0,dorsal,4.859000000000151,-1.0,-1.0,-1.0
1.0,INATRANDOM-28474900,0,dorsal,10.4849999999999,-1.0,-1.0,-1.0
1.0,INATRANDOM-28848460,0,dorsal,2.422000000020489,-1.0,-1.0,-1.0
1.0,INATRANDOM-31514570,0,dorsal,1.4873402569999143,-1.0,-1.0,-1.0
1.0,INATRANDOM-32020455,1,dorsal,7.61838365899996,-1.0,-1.0,-1.0
1.0,INATRANDOM-32083196,0,dorsal,4.405999999999949,-1.0,-1.0,-1.0
1.0,INATRANDOM-33737573,0,dorsal,4.952999999979511,-1.0,-1.0,-1.0
1.0,INATRANDOM-37821010,0,dorsal,3.8119999999762513,-1.0,-1.0,-1.0
1.0,INATRANDOM-49082725,0,dorsal,13.625,-1.0,-1.0,-1.0
1.0,INATRANDOM-50033419,0,dorsal,22.07900000002701,-1.0,-1.0,-1.0
1.0,INATRANDOM-50590241,0,dorsal,2.610000000044238,-1.0,-1.0,-1.0
1.0,INATRANDOM-50841671,1,dorsal,2.0228721619999988,-1.0,-1.0,-1.0
1.0,INATRANDOM-52023209,0,dorsal,12.53100000001723,-1.0,-1.0,-1.0
1.0,INATRANDOM-52306640,0,dorsal,3.703000000037719,-1.0,-1.0,-1.0
1.0,INATRANDOM-52329898,1,dorsal,4.063000000023749,-1.0,-1.0,-1.0
1.0,INATRANDOM-53271972,0,dorsal,15.219000000000053,-1.0,-1.0,-1.0
1.0,INATRANDOM-57322552,0,dorsal,1.8975127230000908,-1.0,-1.0,-1.0
1.0,INATRANDOM-61577319,0,dorsal,1.9848317600001333,-1.0,-1.0,-1.0
1.0,INATRANDOM-61739437,1,dorsal,2.75,-1.0,-1.0,-1.0
1.0,INATRANDOM-62526468,0,dorsal,2.2029999999999745,-1.0,-1.0,-1.0
1.0,INATRANDOM-6402062,0,dorsal,1.6848573890001717,-1.0,-1.0,-1.0
1.0,INATRANDOM-7180165,0,dorsal,6.75,-1.0,-1.0,-1.0
1.0,INATRANDOM-746982,0,dorsal,2.077999999979511,-1.0,-1.0,-1.0
1.0,INATRANDOM-78515858,0,dorsal,12.985000000000127,-1.0,-1.0,-1.0
1.0,INATRANDOM-82594106,1,dorsal,2.6410000000000764,-1.0,-1.0,-1.0
1.0,INATRANDOM-84756841,0,dorsal,3.657865025000092,-1.0,-1.0,-1.0
1.0,INATRANDOM-85277921,0,dorsal,2.077999999979511,-1.0,-1.0,-1.0
1.0,INATRANDOM-86168035,0,dorsal,1.5159999999996217,-1.0,-1.0,-1.0
1.0,INATRANDOM-87796599,0,dorsal,2.031000000017229,-1.0,-1.0,-1.0
1.0,INATRANDOM-90933819,1,dorsal,5.422000000020489,-1.0,-1.0,-1.0
1.0,INATRANDOM-92526361,0,dorsal,3.2960000000002765,-1.0,-1.0,-1.0
1.0,INATRANDOM-94380221,0,dorsal,6.030999999999949,-1.0,-1.0,-1.0
1.0,INATRANDOM-94754473,0,dorsal,1.918552299000112,-1.0,-1.0,-1.0
1.0,INATRANDOM-96631121,0,dorsal,1.159308930000179,-1.0,-1.0,-1.0
1.0,INATRANDOM-97078152,0,dorsal,2.875,-1.0,-1.0,-1.0
1.0,INATRANDOM-1540145,0,dorsolateral,1.4840000000003783,-1.0,-1.0,-1.0
1.0,INATRANDOM-17396628,0,dorsolateral,5.764999999984866,-1.0,-1.0,-1.0
1.0,INATRANDOM-210309,0,dorsolateral,5.378862820999984,-1.0,-1.0,-1.0
1.0,INATRANDOM-21811421,0,dorsolateral,42.203000000008615,-1.0,-1.0,-1.0
1.0,INATRANDOM-24425404,0,dorsolateral,3.906000000000176,-1.0,-1.0,-1.0
